Matrícula;Salário
1730401;1180,11
1731701;1227,79
1733103;1134,27
1733304;1134,27
1745105;1134,27
1746304;1134,27
1746407;1134,27
1749103;1134,27
1771002;1134,27
1801702;1134,27
1809606;1134,27
1810503;1134,27
1821403;1134,27
1832702;1134,27
1846801;1156,94
1847101;1156,94
1847701;1156,94
1848701;1156,94
1852301;1156,94
1858503;1134,27
1862702;1134,27
1890201;1134,27
1912101;1134,27
1942801;1134,27
1943001;1134,27
1955002;1134,27
1960901;1134,27
1961001;1134,27
1961201;1134,27
1961401;1134,27
1971201;1134,27
1971301;1134,27
1981603;1134,27
2011101;1134,27
2011701;1134,27
2012001;1134,27
2018801;1134,27
2281001;1438,53
136301;1350,56
161301;1551,35
162201;1491,15
312302;1405,13
360703;1405,13
565601;1747,1
607202;1272,66
616702;1405,13
631201;1405,13
632401;1433,23
666309;1350,56
684911;1298,14
685409;1350,56
686607;1350,56
688507;1433,23
693117;1350,56
694907;1324,08
697315;1298,14
698817;1350,56
699309;1350,56
725003;1377,56
745602;1298,14
760706;1272,66
782311;1350,56
788309;1405,13
803501;1520,95
854301;1551,35
863803;1350,56
877601;1520,95
951509;1350,56
1028110;1324,08
1045101;1433,23
1054602;1350,56
1055203;1272,66
1064902;1247,7
1141202;1272,66
1145806;1433,23
1252604;1350,56
1287208;1405,13
1314102;1405,13
1345010;1350,56
1395607;1350,56
1397502;1350,56
1416303;1377,56
1467702;1350,56
1491801;1377,56
1493501;1324,08
1502201;1350,56
1502905;1350,56
1528611;1272,66
1574205;1272,66
1586701;1405,13
1626102;1377,56
1626103;1405,13
1673106;1272,66
1710404;1272,66
1723206;1272,66
1730601;1350,56
1730801;1324,08
1731501;1350,56
1737204;1272,66
1777701;1324,08
1847901;1272,66
1848101;1272,66
1848801;1272,66
1848901;1272,66
1849201;1272,66
2808001;1740,64
79501;2605,85
82001;2934,62
120302;2504,67
124402;2268,56
129003;2455,56
151401;2820,68
179501;2711,12
181701;2765,35
187501;2554,76
199203;2268,56
430022;2268,56
444402;2407,43
493001;2934,62
499215;2268,56
556201;2820,68
558007;2455,56
565801;2711,12
566101;3438,37
566307;2268,56
616006;2407,43
617302;2407,43
634307;2268,56
636505;2504,67
654505;2268,56
657225;2407,43
659017;2268,56
661922;2268,56
669505;2313,94
671818;2455,56
682804;2554,76
689203;2605,85
692920;2268,56
694413;2268,56
694618;2268,56
696921;2268,56
697914;2455,56
729205;2554,76
742602;2268,56
804901;3240,04
818401;2657,98
825001;2657,98
826201;2820,68
834401;3114,24
848901;2554,76
849806;2455,56
853701;2605,85
856401;2455,56
859302;2268,56
862301;2820,68
869301;3304,86
983819;2268,56
995408;2268,56
1007717;2268,56
1027303;2268,56
1030303;2268,56
1035816;2268,56
1096511;2268,56
1101702;2268,56
1102102;2407,43
1110901;2605,85
1129511;2455,56
1140602;2268,56
1140902;2268,56
1141702;2268,56
1146403;2268,56
1150015;2455,56
1160907;2554,76
1161011;2455,56
1176305;2268,56
1176426;2268,56
1194903;2268,56
1195804;2455,56
1228012;2455,56
1231202;2268,56
1231302;2268,56
1231502;2268,56
1231602;2268,56
1232102;2268,56
1232402;2554,76
1233602;2268,56
1248704;2455,56
1254807;2268,56
1292113;2268,56
1316606;2268,56
1319405;2268,56
1321410;2268,56
1340707;2268,56
1377713;2268,56
1382202;2268,56
1383002;2268,56
1383603;2268,56
1393912;2313,94
1398110;2268,56
1400602;2554,76
1412210;2313,94
1422607;2268,56
1423104;2268,56
1423417;2268,56
1423803;2268,56
1429207;2268,56
1430603;2268,56
1442215;2268,56
1444914;2268,56
1454906;2268,56
1461109;2268,56
1481106;2268,56
1490102;2268,56
1494202;2268,56
1494902;2268,56
1495802;2268,56
1496202;2268,56
1496802;2268,56
1498809;2268,56
1500417;2268,56
1503702;2313,94
1504910;2268,56
1505213;2268,56
1506005;2268,56
1506608;2268,56
1506711;2268,56
1543609;2268,56
1566601;2554,76
1566803;2313,94
1575110;2268,56
1575205;2268,56
1578005;2268,56
1597301;2554,76
1599907;2268,56
1601811;2268,56
1623115;2268,56
1626304;2268,56
1627408;2268,56
1641108;2268,56
1641709;2268,56
1641802;2268,56
1657903;2268,56
1659603;2268,56
1660707;2268,56
1664208;2268,56
1666604;2268,56
1671809;2268,56
1676605;2268,56
1682406;2268,56
1683207;2268,56
1683408;2268,56
1683605;2268,56
1686107;2268,56
1691905;2268,56
1693807;2268,56
1711409;2268,56
1718502;2268,56
1719103;2268,56
1728803;2268,56
1730101;2407,43
1731801;2407,43
1737304;2268,56
1738312;2268,56
1738504;2268,56
1739905;2268,56
1741604;2268,56
1742503;2268,56
1752204;2268,56
1772605;2268,56
1773906;2268,56
1776403;2268,56
1781405;2268,56
1787504;2268,56
1787905;2268,56
1795205;2268,56
1797403;2268,56
1806102;2268,56
1807902;2268,56
1808404;2268,56
1809902;2268,56
1816704;2268,56
1818003;2268,56
1824202;2268,56
1849001;2268,56
1849501;2268,56
1859703;2268,56
1866401;2268,56
1889701;2268,56
1890702;2268,56
1897101;2268,56
1897401;2268,56
1898501;2268,56
1898901;2268,56
1899001;2268,56
1899101;2268,56
1899201;2268,56
1919602;2268,56
1931302;2268,56
1932101;2268,56
1959201;2268,56
1959701;2268,56
1960601;2268,56
1960701;2268,56
1960801;2268,56
1961501;2268,56
1961701;2268,56
1961901;2268,56
1962001;2268,56
1964702;2268,56
1970101;2268,56
1971801;2268,56
1972001;2268,56
1990801;2268,56
1995901;2268,56
2011801;2268,56
2013301;2268,56
2018601;2268,56
2018701;2268,56
2036901;2268,56
2037001;2268,56
2987001;3053,18
3022001;3053,18
3737002;2455,56
3740001;2504,67
3741001;2934,62
4074001;3176,52
4207001;3304,86
4330001;2877,07
152401;1673,03
163201;1640,25
165401;1706,5
200001;1576,52
313404;1545,61
559701;1740,64
679802;1515,31
688403;1545,61
827001;1640,25
1102602;1545,61
1110701;1545,61
1111001;1576,52
1139401;1576,52
1413502;1545,61
1491901;1456,48
2217001;2207,53
3547001;1775,45
4543001;1775,45
4714001;1706,5
680706;2025,84
683012;1947,18
760012;2025,84
825501;2327,05
848201;2327,05
851401;2620,63
1116105;2025,84
1138801;2149,81
1268005;2107,69
1293209;1908,97
1468904;2107,69
1472207;1986,11
1473507;1908,97
1492201;2107,69
1584404;2025,84
1736105;1908,97
60902;3153,09
127501;3280,46
146901;3153,09
160601;3346,09
162001;3413
164101;3346,09
164401;3413
164801;3413
165301;3280,46
179701;3413
180201;3413
181501;3413
186401;3413
187301;3413
188801;3413
450201;3550,88
480601;3153,09
484202;3153,09
492501;3346,09
493101;3413
495703;3091,26
499401;2971,23
554901;3346,09
555202;2912,97
555501;4078,85
555601;3998,86
557701;4078,85
559501;3768,23
561601;3550,88
564201;3346,09
569901;3481,24
614402;3153,09
618601;3153,09
631901;3030,66
632101;3153,09
632501;3153,09
632601;3091,26
632701;3153,09
653501;3091,26
653801;3153,09
654202;3091,26
656004;3153,09
657703;3153,09
683702;3153,09
688903;3153,09
696402;3091,26
697207;3091,26
698403;3153,09
719910;3030,66
720802;3153,09
734603;3030,66
803701;4078,85
811201;3550,88
819201;3843,6
819301;3843,6
825401;3413
829401;3768,23
829601;3843,6
842501;3694,33
844201;3280,46
856901;3091,26
858401;3550,88
859201;3550,88
861201;3153,09
862701;3346,09
875801;3091,26
875901;3413
883301;3920,47
885101;3694,33
885901;4160,42
1045601;3030,66
1045801;3153,09
1045901;3091,26
1046101;3153,09
1046301;3153,09
1046801;3153,09
1100401;3153,09
1101302;3091,26
1112302;3030,66
1144706;3091,26
1150414;3091,26
1237101;3091,26
1255003;3091,26
1260602;3091,26
1492701;3091,26
1493601;3091,26
2011001;3216,15
2214001;3768,23
2224001;3413
2666001;3843,6
2835001;3768,23
3010001;3413
3116001;3621,9
3304001;3768,23
3629001;3843,6
3752001;3550,88
3985001;4160,42
4038001;3621,9
4041001;3550,88
4192001;3694,33
4293002;3153,09
4300001;3621,9
4465001;3843,6
4468001;3216,15
4594001;3413
4692001;3550,88
4695001;3550,88
4701001;3694,33
4826001;3280,46
4836001;3694,33
4876001;3768,23
4887001;3998,86
8791101;3481,24
2202;2755,15
2602;2648,15
24508;2701,1
59902;2866,43
81613;2701,1
88403;2701,1
103904;2810,23
123202;2545,32
124315;2648,15
124503;2810,23
143902;2755,15
146302;2648,15
151101;3102,74
151301;2982,23
151901;3102,74
163103;2648,15
163401;2982,23
164201;3102,74
165101;3041,91
178701;3228,07
179201;2648,15
180001;2982,23
181601;3041,91
181901;3228,07
182001;3041,91
182101;3228,07
182301;2982,23
184602;2810,23
186601;3041,91
187101;3102,74
187601;3102,74
187901;2982,23
191201;3102,74
203701;2923,77
222709;2648,15
304902;2866,43
349811;2701,1
359703;2701,1
403101;2545,32
469807;2648,15
480401;2701,1
493401;3102,74
496805;2755,15
499901;2755,15
503603;2648,15
538901;3358,51
553501;2982,23
554601;3102,74
555701;3102,74
555901;3041,91
556101;3164,76
558601;3564,05
558801;3635,35
558901;2923,77
559001;3635,35
561701;3635,35
565701;3425,66
569801;3228,07
571202;2866,43
608811;2755,15
609202;2701,1
610702;2755,15
612502;2755,15
612802;2755,15
613302;2701,1
613410;2648,15
613802;2755,15
614602;2701,1
614702;2810,23
615002;2701,1
615902;2701,1
616202;2810,23
616603;2810,23
617202;2701,1
617402;2648,15
618105;2810,23
